sattelbraun #8b4513
schieferblau #6a5acd
schiefergrau #51565c
schiefergrau #708090
schilfgrün #797c5a
schneefarben #fffafa
schokolade #d2691e
schokoladenbraun #44322d
schwarz #000000
schwarzblau #1d1f2a
schwarzbraun #211f20
schwarzgrau #2e3234
schwarzgrün #31403d
schwarzoliv #3d403a
schwarzrot #402225
schwefelgelb #eaf044
seemuschel #fff5ee
seidengrau #bdbdb2
seidenmattweiß #fdfdfd
sepiabraun #49392d
sienaerde #a0522d
signalblau #154889
signalgelb #f7ba0b
signalgrün #0f8558
signalorange #d4652f
signalrot #a02128
signalschwarz #2e3032
signalviolett #904684
signalweiß #f4f8f4
silber #c0c0c0
silbergrau #8f999f
smaragdgrün #28713e
sonnengelb #eea205
stahlblau #232c3f
stahlblau #4682b4
stammholz #deb887
staubgrau #7c7f7e
steingrau #939388
tannengrün #26392f
tarngrau #82887a
taubenblau #6c7c98
teerschwarz #01050e
telegrau 1 #91969a
telegrau 2 #82898e
telegrau 4 #cfd0cf
telemagenta #c63678
terrabraun #4e3b2b
tieforange #ec7c25
tiefschwarz #0a0a0d
tomatenfarben #ff6347
tomatenrot #9c322e
türkisblau #21888f
türkisfarben #40e0d0
türkisgrün #026a52
ultramarinblau #2b2c7c
umbragrau #4b4d46
verkehrsblau #0e518d
verkehrsgelb #f0ca00
verkehrsgrau a #8f9695
verkehrsgrün #008754
verkehrspurpur #992572
verkehrsrot #c1121c
verkehrsschwarz #2a2d2f
verkehrsweiß #f7fbf5
violett #60007f
violett #ee82ee
violettblau #384c70
waldgrün #228b22
wasser #00ffff
wasserblau #07737a
weinrot #5e2028
weizenfarben #f5deb3
weiß #ffffff
weißaluminium #a5a8a6
zeltgrau #575d57
zementgrau #818979
ziegelfarben #b22222
zinkgelb #f3e03b
zitronenchiffon #fffacd
zitronengelb #d9c022
